"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
52.05951126199463;113.5206199215334;;"Братская могила экипажа В.И. Миронова";
52.06028832411113;113.5179967211168;;"Братская могила";
52.05909875222356;113.5169975982587;;"Братская могила";
52.059199606669694;113.51700162157222;;"В.И. Миронов";
